year,age,sex,enrolment_jc
2017,UNDER 17 YRS,F,7273
2018,UNDER 17 YRS,MF,12420
2018,UNDER 17 YRS,F,6629
2018,17 YRS,MF,14020
2018,17 YRS,F,7483
2018,18 YRS,MF,2062
2018,18 YRS,F,1127
2018,19 YRS,MF,440
2018,19 YRS,F,231
2018,20 YRS & OVER,MF,70
2018,20 YRS & OVER,F,33
